date,Mkt-RF,SMB,HML,RF
20040507,   -1.48,   -0.66,   -0.49,   0.003
20040510,   -1.29,   -0.55,   -0.46,   0.003
20040511,    0.95,    0.83,    0.22,   0.003
20040512,    0.12,   -0.22,   -0.06,   0.003
20040513,   -0.08,   -0.25,    0.02,   0.003
20040514,   -0.17,   -0.59,   -0.11,   0.003
20040517,   -1.13,   -0.41,   -0.32,   0.003
20040518,    0.76,    0.38,    0.24,   0.003
20040519,   -0.19,   -0.03,    0.51,   0.003
20040520,    0.02,   -0.15,    0.15,   0.003
20040521,    0.44,    0.43,    0.02,   0.003
20040524,    0.29,    0.67,    0.52,   0.003
20040525,    1.66,    0.58,    0.07,   0.003
20040526,    0.29,    0.13,    0.03,   0.003
20040527,    0.51,   -0.27,   -0.12,   0.003
20040528,    0.02,   -0.06,    0.13,   0.003
20040601,    0.14,    0.68,   -0.08,   0.004
20040602,    0.31,   -0.24,   -0.14,   0.004
20040603,   -0.90,   -0.95,   -0.04,   0.004
20040604,    0.57,    0.38,    0.10,   0.004
20040607,    1.57,    0.15,    0.36,   0.004
20040608,    0.08,   -0.17,   -0.06,   0.004
20040609,   -1.04,   -0.47,   -0.04,   0.004
20040610,    0.36,   -0.29,    0.36,   0.004
20040614,   -1.05,   -0.57,   -0.58,   0.004
20040615,    0.71,    1.02,    0.23,   0.004
20040616,    0.14,    0.24,   -0.05,   0.004
20040617,   -0.14,    0.01,    0.08,   0.004
20040618,    0.19,   -0.20,    0.18,   0.004
20040621,   -0.42,    0.10,    0.12,   0.004
20040622,    0.38,    0.24,    0.07,   0.004
20040623,    0.90,    0.54,    0.21,   0.004
20040624,   -0.23,   -0.01,    0.17,   0.004
20040625,   -0.23,    1.22,    0.10,   0.004
20040628,   -0.25,   -0.06,   -0.07,   0.004
20040629,    0.31,    0.58,   -0.07,   0.004
20040630,    0.48,    0.07,    0.35,   0.004
